topic_id	doc_id	probability
0	61676	0.989654
0	101004	0.985483
0	106396	0.984999
0	108455	0.983632
0	116013	0.979997
1	65349	0.990322
1	65324	0.989534
1	64550	0.989154
1	73271	0.988888
1	73260	0.988888
2	47839	0.982351
2	45655	0.979997
2	47162	0.979997
2	36349	0.979997
2	37652	0.979543
3	1605	0.983016
3	16095	0.982351
3	15670	0.982351
3	1279	0.981998
3	15734	0.981248
4	14093	0.984208
4	17249	0.983634
4	72255	0.981997
4	7169	0.981630
4	9955	0.980849
5	10301	0.969991
5	116392	0.967854
5	86779	0.967851
5	72078	0.967849
5	79854	0.967847
6	16837	0.976918
6	9251	0.976313
6	10980	0.973526
6	10663	0.971870
6	10760	0.971870
7	5518	0.980431
7	13979	0.980430
7	51160	0.977496
7	6364	0.977495
7	7645	0.977494
8	25522	0.981247
8	85428	0.974283
8	65067	0.973526
8	26680	0.972722
8	86138	0.971872
9	106852	0.974281
9	96726	0.973526
9	110418	0.971872
9	103569	0.970965
9	116195	0.968963
