topic_id	doc_id	probability
0	110001	0.969531
0	111399	0.962500
0	110525	0.961000
0	91486	0.961000
0	117813	0.959375
1	104490	0.962500
1	108701	0.957609
1	95169	0.957609
1	111965	0.957609
1	94903	0.957609
2	49116	0.967500
2	59449	0.963889
2	33716	0.962500
2	37335	0.959375
2	42367	0.959375
3	9402	0.975625
3	9868	0.973649
3	14262	0.967500
3	19378	0.966379
3	26446	0.966379
4	55928	0.967500
4	54787	0.965179
4	44594	0.963889
4	55381	0.963889
4	39287	0.963889
5	105117	0.916324
5	97806	0.905750
5	98768	0.902500
5	80039	0.880358
5	102434	0.858184
6	25974	0.959375
6	25768	0.957609
6	24214	0.957609
6	23281	0.957609
6	25865	0.955682
7	397	0.974342
7	4719	0.974342
7	46814	0.962500
7	46521	0.962500
7	49480	0.959375
8	64239	0.965179
8	81058	0.961000
8	79995	0.959375
8	85462	0.957609
8	80967	0.955682
9	109226	0.957609
9	93734	0.955682
9	93763	0.955682
9	106722	0.953571
9	93578	0.953571
10	112443	0.959375
10	112460	0.957609
10	83470	0.955682
10	99979	0.953571
10	80665	0.951250
11	105999	0.963889
11	105309	0.963889
11	16271	0.961000
11	106230	0.961000
11	104840	0.959375
12	63839	0.925000
12	104861	0.911364
12	109344	0.911364
12	115411	0.896957
12	115366	0.861117
13	21417	0.961000
13	21372	0.957609
13	21459	0.953571
13	16064	0.951250
13	21919	0.948684
14	45061	0.966379
14	42640	0.961000
14	42931	0.961000
14	59004	0.959375
14	37211	0.959375
15	17729	0.965179
15	77296	0.965179
15	77249	0.965179
15	76501	0.961000
15	76620	0.959375
16	39238	0.963889
16	38739	0.961000
16	53932	0.961000
16	47751	0.959375
16	37997	0.959375
17	75354	0.962500
17	81870	0.962500
17	74667	0.962500
17	69651	0.961000
17	69632	0.961000
18	78182	0.955682
18	108381	0.953571
18	78401	0.953571
18	109026	0.953571
18	110331	0.953571
19	71225	0.959375
19	88760	0.957609
19	67496	0.953571
19	87894	0.953571
19	87877	0.953571
20	84714	0.805910
20	32716	0.761687
20	79087	0.751261
20	34289	0.745727
20	69792	0.711252
21	20243	0.977326
21	62030	0.969531
21	73413	0.967500
21	83970	0.966379
21	73431	0.966379
22	65289	0.984274
22	64061	0.980102
22	88153	0.980102
22	66299	0.976786
22	66191	0.976786
23	21494	0.950043
23	21319	0.950043
23	113517	0.942647
23	94215	0.911364
23	4344	0.902500
24	12851	0.961000
24	8571	0.959375
24	10458	0.951250
24	10455	0.951250
24	19425	0.951250
25	46010	0.873092
25	59850	0.867844
25	59773	0.858025
25	50106	0.854077
25	59353	0.819221
26	5632	0.961000
26	5511	0.961000
26	25419	0.959375
26	9973	0.951250
26	6931	0.951250
27	35885	0.948684
27	53157	0.930357
27	47323	0.918750
27	110767	0.915981
27	95072	0.905754
28	25252	0.969531
28	13108	0.963889
28	5707	0.962500
28	26486	0.961000
28	26751	0.957609
29	2729	0.965179
29	18153	0.963889
29	16937	0.962500
29	12759	0.962500
29	22576	0.961000
30	20432	0.970455
30	30542	0.969531
30	56420	0.968548
30	32795	0.967500
30	30604	0.967500
31	31027	0.969531
31	53882	0.968548
31	55447	0.967500
31	49645	0.966379
31	31419	0.963889
32	69891	0.953571
32	81067	0.951250
32	92098	0.935000
32	69902	0.930357
32	76244	0.930357
33	10566	0.969531
33	68608	0.963889
33	79973	0.962500
33	79808	0.962500
33	79813	0.961000
34	24395	0.966379
34	27197	0.965179
34	17459	0.965179
34	5074	0.963889
34	27062	0.963889
35	13241	0.979687
35	14746	0.970455
35	5486	0.968548
35	10910	0.968548
35	5578	0.967500
36	90556	0.965179
36	90259	0.965179
36	117930	0.963889
36	118072	0.963889
36	90571	0.963889
37	40297	0.939062
37	4419	0.915336
37	33536	0.890984
37	40439	0.886035
37	34565	0.882981
38	60563	0.966379
38	79092	0.965179
38	79079	0.965179
38	19644	0.963889
38	78953	0.962500
39	61801	0.963889
39	112207	0.962500
39	112113	0.961000
39	81812	0.959375
39	112072	0.959375
